dataset,episode,classification,bag_duration_s,common_overlap_s,alignment_coverage_50ms,drop_events,estimated_missing,severe_gaps,usable_segments_ge_5s,usable_continuous_s,longest_continuous_s,header_clock_topics,size_bytes,errors,warnings,path
f1-5-201,episode_000000,FRAGMENT_ONLY,62.396784948,62.32687211036682,0.9957627118644068,143,162,1,2,62.104780197143555,42.76481771469116,2,830718220,,"one or more required streams has a gap >200 ms | 143 dropped-frame events, about 162 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000000
f1-5-201,episode_000001,FRAGMENT_ONLY,59.374315601,59.07512879371643,0.9966480446927374,118,132,1,2,58.8521568775177,40.498229026794434,1,789768797,,"one or more required streams has a gap >200 ms | 118 dropped-frame events, about 132 missing messages | header clock anomaly on 1 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000001
f1-5-201,episode_000002,FRAGMENT_ONLY,61.080143522,58.73350811004639,0.9887640449438202,103,137,4,4,54.29453992843628,25.194851636886597,3,797580059,,"one or more required streams has a gap >200 ms | 103 dropped-frame events, about 137 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000002
f1-5-201,episode_000003,FRAGMENT_ONLY,61.569789951,58.86574649810791,0.9904708520179372,115,151,3,4,58.130677700042725,23.80657172203064,2,794107410,,"one or more required streams has a gap >200 ms | 115 dropped-frame events, about 151 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000003
f1-5-201,episode_000004,READY,63.435858998,63.38723659515381,0.99375,147,173,0,1,63.38723659515381,63.38723659515381,2,839987755,,"147 dropped-frame events, about 173 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000004
f1-5-201,episode_000005,FRAGMENT_ONLY,68.069803922,68.03189897537231,0.9825412221144519,124,180,4,3,62.52702283859253,36.92112374305725,2,908102937,,"one or more required streams has a gap >200 ms | 124 dropped-frame events, about 180 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000005
f1-5-201,episode_000006,READY,65.41265828,65.34250545501709,0.9984856133266027,128,141,0,1,65.34250545501709,65.34250545501709,1,867147748,,"128 dropped-frame events, about 141 missing messages | header clock anomaly on 1 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000006
f1-5-201,episode_000007,FRAGMENT_ONLY,65.249692089,62.74912929534912,0.9936908517350158,123,143,1,2,62.52679252624512,31.479636669158936,3,845708033,,"one or more required streams has a gap >200 ms | 123 dropped-frame events, about 143 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000007
f1-5-201,episode_000008,READY,73.051591536,73.0149884223938,0.9950271247739603,188,211,0,1,73.0149884223938,73.0149884223938,0,964977649,,"188 dropped-frame events, about 211 missing messages",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000008
f1-5-201,episode_000009,FRAGMENT_ONLY,59.591230542,59.56110334396362,0.9950138504155125,113,131,1,2,59.27309441566467,31.13016700744629,3,786146124,,"one or more required streams has a gap >200 ms | 113 dropped-frame events, about 131 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000009
